row,genes,reactions
333,b0425,rxn01790
334,b3774,rxn30595;rxn01790;rxn15466
335,b4381,rxn00784
336,b1185;b3860,rxn08367;rxn08366
337,b2893,rxn08368
338,b2582;b4136,rxn08369
339,b3781;b4136,rxn08369
340,b0604,rxn08370
341,b1098,rxn01513
342,b1238,rxn01518;rxn01143
343,b4384,rxn01859;rxn01985;rxn01358;rxn01548;rxn01446;rxn01138;rxn01799
344,b4382,rxn01799;rxn01146
345,b3640,rxn01519
346,b2251,rxn09014;rxn01222;rxn01519
347,b0173,rxn03958
348,b0420,rxn03909
349,b3564,rxn08380;rxn01199
350,b2975,rxn08350;rxn05470;rxn05602
351,b3603,rxn08350;rxn05470;rxn05602
352,b2927,rxn01331
353,b1288,rxn05325;rxn05323;rxn05357;rxn08398;rxn08392;rxn08393;rxn05326;rxn08395;rxn08390;rxn05351;rxn08387;rxn05352;rxn05324;rxn08399;rxn08391;rxn08394;rxn05356;rxn05322;rxn08396;rxn05327;rxn05355;rxn05353;rxn08397;rxn08386
354,b3622,rxn09021;rxn08407
355,b3785;b3793,rxn08408;rxn08410;rxn08409
356,b3792,rxn08411
357,b3846,rxn03239;rxn09038;rxn03247;rxn03240;rxn03244;rxn03242;rxn03250;rxn02911;rxn02167;rxn08413;rxn03241;rxn08700;rxn09288;rxn03245;rxn03249;rxn03246;rxn08706;rxn06777;rxn01451
358,b2341,rxn03239;rxn03247;rxn03240;rxn03244;rxn03242;rxn03250;rxn02911;rxn02167;rxn08413;rxn03241;rxn08700;rxn03245;rxn03249;rxn03246;rxn06777;rxn01451
359,b1850,rxn00162;rxn03884
360,b1851,rxn01477
361,b1054,rxn06865
362,b1855,rxn08418;rxn06848
363,b2378,rxn08417
364,b2779,rxn00459
365,b0583,rxn08420
366,b0585,rxn08421;rxn08422
367,b2440;b2441,rxn00539
368,b0825,rxn08429
369,b3946,rxn08429
370,b0822,rxn08430;rxn00220;rxn09222;rxn08948;rxn00610
371,b3666,rxn05563;rxn08879;rxn05554;rxn08590
372,b0404,rxn08436;rxn06556;rxn08435;rxn08437;rxn08433;rxn08434;rxn08438
373,b0452,rxn08439;rxn08441;rxn08447;rxn08440;rxn08445;rxn00943;rxn08443;rxn08446;rxn08444;rxn08442
374,b1805,rxn08450;rxn08451;rxn08449;rxn08453;rxn08455;rxn08456;rxn08452;rxn08457;rxn08454;rxn08448
375,b1701,rxn08450;rxn08451;rxn08449;rxn08453;rxn08455;rxn08456;rxn08452;rxn08457;rxn08454;rxn08448
376,b3844,rxn08491;rxn03974;rxn03975;rxn08521;rxn08458;rxn03976
377,b2763;b2764,rxn03976;rxn08459;rxn03975;rxn00623
378,b2097,rxn00786
379,b1773,rxn00786
380,b2925,rxn00786
381,b3925,rxn00549
382,b4232,rxn00549
383,b2802,rxn02263
384,b2803,rxn02319
385,b2738,rxn01620
386,b2800,rxn01620
387,b0475,rxn12218
388,b3892;b3893;b3894,rxn13640;rxn13639
389,b1474;b1475;b1476,rxn13640;rxn13639
390,b0935,rxn08469;rxn08470;rxn08467;rxn08471;rxn08468
391,b3409,rxn13831
392,b2392,rxn08473;rxn05618
393,b4287;b4288;b4289;b4290,rxn08478
394,b1252;b3005;b3006;b4291,rxn08479
395,b0588;b0589;b0590;b0592,rxn08481;rxn05190
396,b0805;b1252;b3005;b3006,rxn08482
397,b1252;b2155;b3005;b3006,rxn08482
398,b0150;b1252;b3005;b3006,rxn08514;rxn08498;rxn08488
399,b0584;b1252;b3005;b3006,rxn08507
400,b0591,rxn08508
401,b2719;b2720;b2721;b2722;b2723;b2724;b4079,rxn08518
402,b2481;b2482;b2483;b2484;b2485;b2486;b2487;b2488;b2489;b2490;b4079,rxn08518
403,b0684;b3924,rxn08519
404,b2895;b3924,rxn08519
405,b3288,rxn06538
406,b0025,rxn00122;rxn00392
407,b0937,rxn03974;rxn03975
408,b0904,rxn08525;rxn05559
409,b2492,rxn08525;rxn05559
410,b4151;b4152;b4153;b4154,rxn08528;rxn08527
411,b2168,rxn01492
412,b3371,rxn08530
413,b4474,rxn08531
414,b3374,rxn08532
415,b3370,rxn09195;rxn08533
416,b4321,rxn05571;rxn08538
417,b2167;b2169;b2415;b2416,rxn05560
418,b1232,rxn00691
419,b2801,rxn05691
420,b4122,rxn00799
421,b1612,rxn00799
422,b1611,rxn00799
423,b0621,rxn09273;rxn08543
424,b3730,rxn03638;rxn00293
425,b1002,rxn08571;rxn00221
426,b3789,rxn01675
427,b2039,rxn01675
428,b0154,rxn01629
429,b4055,rxn00708;rxn09010;rxn09212;rxn00420;rxn00132;rxn01145;rxn01507;rxn09336;rxn00766;rxn09222;rxn00363;rxn01218;rxn01445;rxn01961;rxn00913;rxn01521;rxn00831
430,b4041,rxn08552;rxn08546;rxn08547;rxn08550;rxn08548;rxn08551;rxn08549
431,b3450;b3451;b3452;b3453,rxn08553;rxn08563;rxn08565;rxn05158;rxn08559;rxn08561
432,b3608,rxn00612
433,b2241;b2242;b2243,rxn08556;rxn08558;rxn08557
434,b3426,rxn08556
435,b0243,rxn02373
436,b0678,rxn00552
437,b1852,rxn00604
438,b3128,rxn03887
439,b4358,rxn08575
440,b4478,rxn02173
441,b4356,rxn08576
442,b3691,rxn08578
443,b2789,rxn05572;rxn05565;rxn08644
444,b3127,rxn05572;rxn05565;rxn08644
445,b0757,rxn00808
446,b2045,rxn00808
447,b0756,rxn08582
448,b4119,rxn00817
449,b3628,rxn08583
450,b2092;b2093;b2094;b2415;b2416,rxn05567
451,b3093,rxn05673;rxn05574
452,b1236,rxn00213
453,b2148;b2149;b2150,rxn05147;rxn05162
454,b2943,rxn05566;rxn05573
455,b1779,rxn00781
456,b2500,rxn03004
457,b1415,rxn00979;rxn01053
458,b2052,rxn08666;rxn08597
459,b2784,rxn00303;rxn08598
460,b3650,rxn00242;rxn08598
461,b2051,rxn08599
462,b2467,rxn00639
463,b3729,rxn00555
464,b1298,rxn05128
465,b1301,rxn08603
466,b1297,rxn05123;rxn00187
467,b3432,rxn08605
468,b0459,rxn08607;rxn01133
469,b0837,rxn08608
470,b0124,rxn08608
471,b4476,rxn05571
472,b3415,rxn05571
473,b3428,rxn13299;rxn08611
474,b3417,rxn08942;rxn08943;rxn08941;rxn13299;rxn08611
475,b3126,rxn01990
476,b2788,rxn01989
477,b2787,rxn01989
478,b3429,rxn13643
479,b3631,rxn08618
480,b3627,rxn08619
481,b3626,rxn08620
482,b1621;b2415;b2416;b2417,rxn05607;rxn05226
483,b3431,rxn08605
484,b3430,rxn00695
485,b3870,rxn00187
486,b0680,rxn06437
487,b0809;b0810;b0811,rxn05155
488,b2091,rxn03856
489,b0242,rxn00179
490,b1492,rxn08628
491,b2688,rxn00646
492,b1493,rxn00194
493,b3517,rxn00194
494,b1761,rxn00184
495,b1524,rxn00189
496,b0485,rxn00189
497,b1812,rxn00189
498,b2312,rxn00790
499,b3967,rxn00193
500,b3212;b3213,rxn00085
501,b1210,rxn06591
502,b2400,rxn06937
503,b3653,rxn05298
504,b0507,rxn00010
505,b3927,rxn05667;rxn08635;rxn05581
506,b3617,rxn00274
507,b2240,rxn08642
508,b0514,rxn01102
509,b3124,rxn08647
510,b0116;b2903;b2904;b2905,rxn00908
511,b1033,rxn00324;rxn01011;rxn01013;rxn00512
512,b2979;b4467;b4468,rxn08656;rxn08655;rxn08657
513,b3926,rxn00615
514,b0212,rxn01274
515,b3559;b3560,rxn06438
516,b2053,rxn00642
517,b3052,rxn03916;rxn03918
518,b0200,rxn03919
519,b0104,rxn00837
520,b2507,rxn00917
521,b2029,rxn01115
522,b3437,rxn01275
523,b4268,rxn01275
524,b3449,rxn08668;rxn00889;rxn01073;rxn00758;rxn08669
525,b2239,rxn01073;rxn08669;rxn00758;rxn00889;rxn08668
526,b1064,rxn08670
527,b3610,rxn08670
528,b1654,rxn08670
529,b0849,rxn08670
530,b0477,rxn00914;rxn00835
531,b2988,rxn01404;rxn01403
532,b3500,rxn00086
533,b3447,rxn00350
534,b0829;b0830;b0831;b0832,rxn08676
535,b2947,rxn00351
536,b2153,rxn00299
537,b1277,rxn00300
538,b3779,rxn02449
539,b2883,rxn01225
540,b0125,rxn00915;rxn00836
541,b0238,rxn01544;rxn00915;rxn00836
542,b3092,rxn01080;rxn01457
543,b0957,rxn05319
544,b1319,rxn05319
545,b3875,rxn05319
546,b0875,rxn05319
547,b4040,rxn03893
548,b0353,rxn08725;rxn08701
549,b0339,rxn00102
550,b0126,rxn00102
551,b0261,rxn00452;rxn08703
552,b0428,rxn05120
553,b3630,rxn08708
554,b3625,rxn08709
555,b3621,rxn08710
556,b3620,rxn08711
557,b3632,rxn08712
558,b3623,rxn08713
559,b2104,rxn03075
560,b2388,rxn00216
561,b0394,rxn00547
562,b2020,rxn00859
563,b2022,rxn02473;rxn02160
564,b2514,rxn06439
565,b2306;b2307;b2308;b2309,rxn05164
566,b0112,rxn05301;rxn05306;rxn05663;rxn05299
567,b0349,rxn04604;rxn01895
568,b3805,rxn00060
569,b2418,rxn01396;rxn00124;rxn02484;rxn01807
570,b2103,rxn03108;rxn02484
571,b0813,rxn09304;rxn08722
572,b3824,rxn08722
573,b0352,rxn00540
574,b0142,rxn02503
575,b0508,rxn01015
576,b0003,rxn01300
577,b4013,rxn01304
578,b2021,rxn02320
579,b2866;b2867;b2868,rxn01522;rxn01297
580,b0972;b0973;b0974,rxn08735;rxn08734;rxn08736
581,b2719;b2720;b2721;b2722;b2723;b2724,rxn08734
582,b2994;b2997,rxn08735;rxn08734;rxn08736
583,b1136,rxn00198
584,b2265,rxn01258
585,b0593,rxn01258
586,b0595,rxn02177
587,b4015,rxn00336
588,b4267,rxn03954;rxn03953
589,b2023;b2025,rxn03135
590,b1262,rxn02508;rxn02507
591,b3770,rxn00806;rxn00493;rxn01575;rxn00903
592,b0026,rxn06440
593,b0401,rxn05669;rxn05244;rxn05243
594,b2508,rxn00834
595,b3265;b3266,rxn08750
596,b3161,rxn05663;rxn08750
597,b3679,rxn08752
598,b2889,rxn00830
599,b0073,rxn03062;rxn01208
600,b0071;b0072,rxn02789;rxn02811
601,b0074,rxn00902
602,b1091,rxn08766
603,b3845,rxn00178;rxn02680;rxn03248;rxn00874;rxn02804;rxn08767;rxn03243;rxn06510
604,b2342,rxn00178;rxn02680;rxn03248;rxn00874;rxn02804;rxn08767;rxn03243;rxn06510
605,b0918,rxn02405
606,b3198,rxn02404
607,b1215,rxn02331
608,b3581,rxn04928
609,b4196,rxn04928
610,b0696;b0697;b0698,rxn08762
611,b1291;b1363;b3290,rxn05595
612,b1291;b3290;b3849,rxn05595
613,b1250,rxn05595
614,b3747,rxn05595
615,b0842,rxn05596;rxn05209
616,b0047,rxn05596
617,b3350,rxn05596
618,b2257,rxn08772
619,b0344,rxn00816
620,b2132,rxn00816
621,b1326,rxn08773
622,b2799,rxn15317
623,b0070,rxn08779
624,b2170,rxn08779
625,b0343,rxn08781
626,b1380,rxn00500
627,b2133,rxn08783;rxn00500
628,b4054,rxn00493;rxn00806;rxn00527
629,b0642,rxn06441
630,b3454;b3455;b3456;b3457;b3458,rxn05161
631,b1651,rxn01834
632,b0622,rxn08789;rxn08790
633,b0182,rxn03159
634,b0494,rxn08815;rxn08816;rxn08810;rxn08811;rxn08806;rxn08814;rxn08799;rxn08805;rxn08804;rxn08796;rxn08812;rxn08808;rxn08800;rxn08797;rxn08809;rxn08813;rxn08803;rxn08798;rxn08802;rxn08807;rxn08801
635,b3825,rxn08850;rxn08827;rxn08835;rxn08851;rxn08839;rxn08820;rxn08848;rxn08834;rxn08836;rxn08838;rxn08845;rxn08817;rxn08842;rxn08821;rxn08846;rxn08837;rxn08841;rxn08830;rxn08847;rxn08844;rxn08819;rxn08832;rxn08828;rxn08829;rxn08831;rxn08825;rxn08840;rxn08824;rxn08843;rxn08822;rxn08818;rxn08849;rxn08823;rxn08826;rxn08833
636,b0186,rxn00322
637,b4131,rxn00322
638,b4129,rxn06442
639,b2890,rxn06442
640,b2156,rxn08854
641,b3903,rxn01761;rxn01394
642,b3907,rxn05692;rxn05646
643,b3605,rxn08793;rxn08792
644,b3600,rxn00546
645,b1800,rxn00160
646,b2976,rxn00330
647,b4014,rxn00330
648,b2049,rxn00640
649,b1613,rxn00559
650,b4323,rxn01775
651,b0731;b2415;b2416,rxn08882
652,b0732,rxn08884
653,b0334,rxn03060
654,b0331,rxn00289
655,b0333,rxn00679
656,b1092;b1094,rxn05465
657,b2521,rxn02230
658,b3396,rxn08889;rxn08887;rxn08888;rxn08957;rxn08958
659,b0084,rxn08889;rxn08887
660,b0149,rxn08889;rxn08887;rxn08888;rxn08957;rxn08958
661,b0635,rxn08889;rxn08887
662,b3182,rxn08893;rxn08897;rxn08891;rxn08896;rxn08890;rxn08895;rxn08892;rxn08894;rxn08898
663,b0839,rxn08893;rxn08891;rxn08890;rxn08892;rxn08894
664,b0632,rxn08893;rxn08891;rxn08890;rxn08892;rxn08894
665,b2010,rxn08893;rxn08891;rxn08890;rxn08892;rxn08894
666,b2328,rxn08897;rxn08895;rxn08898;rxn08896
667,b2134,rxn08897;rxn08895;rxn08898;rxn08896
668,b3236,rxn00248
669,b2210,rxn08901;rxn08900
670,b1479,rxn00159
671,b2463,rxn00161
672,b2515,rxn05293
673,b2746,rxn03910
674,b4120,rxn05612
675,b2747,rxn03907
676,b2942,rxn00126
677,b0197;b0198;b0199,rxn05219;rxn05183
678,b4019,rxn00693
679,b3829,rxn00693
680,b2582;b4219,rxn08918
681,b3781;b4219,rxn08918
682,b1778;b2582,rxn08919
683,b1778;b3781,rxn08919
684,b2114,rxn06443
685,b4242,rxn05174;rxn08924
686,b0963,rxn00748
687,b2533,rxn00881
688,b0403,rxn08934;rxn08936;rxn08933;rxn05746;rxn08935
689,b4392,rxn08937;rxn08940;rxn08938;rxn08939
690,b1193,rxn08937;rxn08940;rxn08938;rxn08939
691,b2813,rxn08937;rxn08940;rxn08938;rxn08939
692,b2963,rxn08937;rxn08940;rxn08938;rxn08939
693,b2701,rxn08937;rxn08940;rxn08938;rxn08939
694,b2919,rxn00672
695,b0260,rxn08944
696,b2917,rxn00602
697,b2415;b2416;b3599,rxn05617
698,b4322,rxn03885
699,b3633,rxn03439;rxn03182
700,b3624,rxn08954
701,b0763;b0764;b0765,rxn05153;rxn05619;rxn09333
702,b2422;b2423;b2424;b3917,rxn05176;rxn05153;rxn05619
703,b2422;b2423;b2424;b2425,rxn05176;rxn05153;rxn05619
704,b0134,rxn00912
705,b2519,rxn08957;rxn08958
706,b0529,rxn00907;rxn01211
707,b3941,rxn04954
708,b1059,rxn08965;rxn00433
709,b2411,rxn00076
710,b3996,rxn00076
711,b1109,rxn08976;rxn08975;rxn08971
712,b2276;b2277;b2278;b2279;b2280;b2281;b2282;b2283;b2284;b2285;b2286;b2287;b2288,rxn08975;rxn08971;rxn08976
713,b2615,rxn00077
714,b3028,rxn08977;rxn08979;rxn08978
715,b1740,rxn00138
716,b3962,rxn00083
717,b1602;b1603,rxn00083;rxn00083
718,b0931,rxn08981
719,b1186,rxn08982
720,b0019,rxn08983
721,b2518,rxn01353;rxn00409;rxn00839;rxn00117;rxn01678;rxn01512;rxn00237;rxn01673
722,b0451,rxn05466
723,b2710;b2711,rxn01806
724,b3476;b3477;b3478;b3479;b3480,rxn05174
725,b0639,rxn00105;rxn02155
726,b4390,rxn00105
727,b0751,rxn08995
728,b1768,rxn00938
729,b1991,rxn02897
730,b0109,rxn02402
731,b1223,rxn05625;rxn09004
732,b3367,rxn05625
733,b2202;b2203;b2204;b2205;b2206,rxn09000
734,b1465;b1466;b1467;b1468,rxn12498;rxn09003
735,b1224;b1225;b1226;b1227,rxn12498;rxn09003
736,b2202;b2203;b2206,rxn09002
737,b1469,rxn09004
738,b2552,rxn03990;rxn03991
739,b2262,rxn02898
740,b4374,rxn01521;rxn01145;rxn00708
741,b2744,rxn00363;rxn00831;rxn01961;rxn00001;rxn00106;rxn01507;rxn01145;rxn00708;rxn01218;rxn01521;rxn00913;rxn09010;rxn01445;rxn00132
742,b2291,rxn01507;rxn01145;rxn01218;rxn01521;rxn09010;rxn01445
743,b0480,rxn00708;rxn09348;rxn09010;rxn09340;rxn00212;rxn09355;rxn00132;rxn01145;rxn09341;rxn01507;rxn00363;rxn01218;rxn01445;rxn01961;rxn00913;rxn01521;rxn00831
744,b0650,rxn00062
745,b4161,rxn00408;rxn00241;rxn00062;rxn00513
746,b4394,rxn09012;rxn00513;rxn09011
747,b0980,rxn00241;rxn09119
748,b2781,rxn09013;rxn00301;rxn09014;rxn00463;rxn01351;rxn00063;rxn00367;rxn01222
749,b2954,rxn00514;rxn01962;rxn02518
750,b1759,rxn00367;rxn01222
751,b0160,rxn09016;rxn01352
752,b3365;b3366,rxn00568
753,b4070;b4071;b4072;b4073,rxn09019;rxn09018
754,b2027;b2035,rxn09022;rxn09024;rxn09023
755,b2033,rxn09025
756,b2037,rxn09026
757,b2034,rxn09027
758,b2032,rxn09028
759,b0902;b3114,rxn00157;rxn04794
760,b0902;b0903,rxn00157;rxn04794
761,b0273,rxn01019
762,b4254,rxn01019
763,b3187,rxn09037
764,b0907,rxn02914;rxn20631
765,b0662,rxn09040
766,b1281,rxn00710
767,b2907,rxn09042
768,b0350,rxn01893
769,b2311,rxn03393
770,b3843,rxn03393
771,b3835,rxn09044
772,b2965,rxn00470
773,b0693,rxn00470
774,b3642,rxn01362
775,b2264,rxn03398;rxn00442
776,b1014,rxn09188;rxn00503
777,b0386,rxn00931
778,b1398,rxn01842
779,b0133,rxn01791
780,b1278,rxn09104;rxn09067;rxn09068;rxn09065;rxn09062;rxn09103;rxn09101;rxn09102;rxn09063;rxn09064;rxn09068;rxn09067;rxn09103;rxn09105;rxn09107;rxn09065;rxn09064;rxn09106;rxn09105;rxn09062;rxn09106;rxn09107;rxn09066;rxn09101;rxn09066;rxn09102;rxn03901;rxn09104;rxn09063;rxn03901
781,b0087,rxn03904
782,b2582;b2762,rxn05239
783,b2762;b3781,rxn05239
784,b2762;b3610,rxn09069
785,b1654;b2762,rxn09069
786,b0849;b2762,rxn09069
787,b1064;b2762,rxn09069
788,b1489,rxn00140
789,b0114;b0115;b0116,rxn00154
790,b1638,rxn00208;rxn00209
791,b0052;b2564,rxn09072
792,b2320,rxn02939
793,b3546,rxn09083;rxn09082
794,b1723,rxn00545
795,b3916,rxn02314;rxn00545
796,b3951;b3952,rxn00157
797,b3176,rxn01485
798,b2913,rxn01101
799,b4025,rxn00558
800,b2926,rxn01100
801,b0767,rxn01476
802,b3385,rxn00980
803,b0755,rxn01106
804,b3612,rxn01106
805,b4395,rxn01106
806,b2690,rxn00704
807,b0688,rxn00704
808,b0418,rxn09104;rxn09107;rxn09102;rxn09106;rxn09105;rxn09103;rxn09103;rxn09104;rxn09105;rxn09106;rxn09101;rxn09101;rxn09102;rxn09107
809,b1912,rxn09108;rxn09109;rxn09112;rxn09114;rxn09110;rxn09111;rxn09113
810,b2199;b2200;b2201,rxn09115
811,b1713;b1714,rxn06444
812,b0576,rxn05301;rxn05306
813,b2987,rxn05312
814,b3493,rxn05312
815,b3725;b3726;b3727;b3728,rxn05145
816,b3821,rxn09152;rxn09146;rxn09142;rxn09123;rxn09135;rxn09138;rxn09164;rxn09124;rxn09159;rxn09144;rxn09133;rxn09141;rxn09163;rxn09153;rxn09150;rxn09157;rxn09160;rxn09127;rxn09128;rxn09158;rxn09132;rxn09151;rxn09140;rxn09154;rxn09125;rxn09126;rxn09137;rxn09130;rxn09145;rxn09161;rxn09149;rxn09134;rxn09136;rxn09156;rxn09155;rxn09148;rxn09143;rxn09139;rxn09131;rxn09147;rxn09129;rxn09162
817,b2048,rxn01329
818,b3974,rxn12510
819,b3258,rxn09165
820,b0871,rxn09167
821,b4226,rxn00001
822,b2502,rxn00106;rxn00001
823,b1015,rxn05221;rxn09171
824,b0369,rxn00029
825,b3956,rxn00251
826,b3639,rxn09177;rxn02341
827,b3403,rxn00247
828,b2920,rxn09174
829,b2501,rxn09176;rxn00104
830,b3380,rxn00778
831,b4383,rxn00778;rxn01986
832,b3850,rxn09179;rxn09180
833,b2536,rxn09182
834,b1702,rxn00147
835,b0383,rxn09184
836,b4005,rxn02895
837,b2499,rxn02937
838,b2026,rxn02835;rxn02834
839,b2476,rxn03147
840,b2557,rxn03084
841,b2024,rxn03175
842,b0194,rxn06445
843,b1207,rxn00770
844,b0908,rxn02476
845,b4160,rxn09197;rxn09200;rxn09201;rxn09202;rxn09199;rxn09203;rxn09198
846,b4388,rxn00420
847,b2585,rxn09206;rxn09207;rxn09209;rxn09210;rxn09211;rxn09205;rxn09208
848,b2297,rxn00173;rxn00670
849,b2458,rxn00173
850,b3634,rxn02175
851,b0692,rxn05687;rxn09214
852,b3073,rxn00856
853,b1123;b1124;b1125;b1126,rxn05163;rxn05175
854,b0854;b0855;b0856;b0857,rxn05163
855,b1440;b1441;b1442;b1443,rxn05163;rxn05175
856,b1296,rxn05687
857,b2407,rxn01985;rxn01358;rxn01548;rxn01446;rxn01649
858,b1636,rxn00124
859,b1676,rxn00148
860,b1854,rxn00148
861,b3831,rxn01366
862,b3029,rxn09220;rxn09219
863,b0750,rxn02988
864,b4094,rxn04651
865,b1662,rxn03080
866,b0415,rxn00048
867,b3752,rxn00772
868,b0063,rxn01763;rxn01199;rxn01389
869,b3583,rxn04082
870,b0061,rxn04082
871,b4198,rxn04082
872,b3629,rxn09225
873,b2687,rxn05958
874,b4227;b4230;b4231;b4485,rxn05160
875,b3748;b3749;b3750;b3751,rxn05160
876,b3904,rxn02161
877,b3902,rxn01621
878,b2234;b2235;b2582,rxn06076;rxn05233;rxn06075;rxn05231
879,b2234;b2235;b3781,rxn06076;rxn05233;rxn06075;rxn05231
880,b2675;b2676;b3610,rxn09231;rxn09232;rxn09234;rxn09233
881,b0849;b2675;b2676,rxn09231;rxn09232;rxn09234;rxn09233
882,b1064;b2675;b2676,rxn09231;rxn09232;rxn09234;rxn09233
883,b1654;b2675;b2676,rxn09231;rxn09232;rxn09234;rxn09233
884,b2895;b4238,rxn09236;rxn09235;rxn09238;rxn09237
885,b0684;b4238,rxn09236;rxn09235;rxn09238;rxn09237
886,b4301,rxn01116
887,b3386,rxn01116
888,b2914,rxn00777
889,b0638,rxn03150
890,b0222,rxn03917
891,b1745,rxn02927
892,b2751;b2752,rxn09240
893,b2705,rxn03886
894,b2415;b2416;b2702;b2703;b2704,rxn09242
895,b2472,rxn01973
896,b3591,rxn09244
897,b1764,rxn02569
898,b0586,rxn09245
899,b3607,rxn00423
900,b2366,rxn30060
901,b1814,rxn00165;rxn00737
902,b2797,rxn00165;rxn00737
903,b4471,rxn00165
904,b0893,rxn09249;rxn06446
905,b3116,rxn05307;rxn05300
906,b2796,rxn05307
907,b3089,rxn09247;rxn09306
908,b0355,rxn00377
909,b2154,rxn00377
910,b1744,rxn00291
911,b1746,rxn03422
912,b3368,rxn12221;rxn02774;rxn02287
913,b3281,rxn01740
914,b1692,rxn01740
915,b3390,rxn01739
916,b0388,rxn01739
917,b3939,rxn01816
918,b1981,rxn09256
919,b1584,rxn09264;rxn09265
920,b0121,rxn01406
921,b3908,rxn00206
922,b1656,rxn00206
923,b1646,rxn00206
924,b2661,rxn00509
925,b2260,rxn02831
926,b2261,rxn02832
927,b0721;b0722;b0723;b0724,rxn09272
928,b0728;b0729,rxn00285
929,b1521,rxn01857
930,b2464,rxn01333
931,b0008,rxn01333
932,b3061;b3062,rxn00245
933,b3063,rxn09283
934,b0368,rxn03630
935,b3790,rxn09289
936,b3791,rxn01999
937,b2038,rxn02000
938,b2040,rxn02003
939,b3788,rxn01997
940,b2041,rxn01997
941,b0915,rxn03181
942,b2893;b4136,rxn09292
943,b0604;b4136,rxn09293
944,b2095;b2096,rxn00787
945,b3132;b3137,rxn00787
946,b0166,rxn03031
947,b2480;b3781,rxn09296
948,b2480;b2582,rxn09296
949,b0066;b0067;b0068,rxn05177
950,b3616,rxn01068
951,b3117,rxn00737
952,b3772,rxn00737
953,b1719,rxn06447
954,b3823,rxn09304
955,b0423;b2530;b3990;b3991;b3992;b4407,rxn09310
956,b2935,rxn00785;rxn01200
957,b2465,rxn00785;rxn01200
958,b0996;b0997,rxn09314;rxn09316
959,b2827,rxn01520
960,b1106,rxn01538
961,b0417,rxn00438
962,b3993,rxn02305
963,b3919,rxn00747
964,b0613,rxn09320
965,b0888;b3781,rxn05289
966,b0888;b2582,rxn05289
967,b4239,rxn00606
968,b1897,rxn02004
969,b1896,rxn00605
970,b3519,rxn00007
971,b1197,rxn00007
972,b2415;b2416;b2417;b4240,rxn02005
973,b1260;b1261,rxn00474;rxn01682;rxn01964
974,b3384,rxn06448
975,b3709,rxn05663
976,b0509,rxn01280
977,b3125,rxn01280
978,b1637,rxn06280
979,b1907,rxn05301
980,b0179,rxn06723
981,b0085,rxn02011
982,b3787,rxn02377
983,b3786,rxn00297
984,b0181;b1094,rxn06729
985,b3189,rxn00461
986,b0090,rxn03408
987,b0088,rxn02008
988,b0091,rxn02286
989,b3972,rxn02285
990,b3057,rxn03901;rxn03901
991,b0841,rxn03901;rxn03901
992,b0174,rxn09345
993,b0759,rxn00214
994,b2036,rxn00358
995,b2028,rxn00211
996,b2255,rxn10381;rxn09351
997,b2253,rxn09354
998,b0758,rxn00701
999,b0505,rxn00327
1000,b0086,rxn03164
1001,b0096,rxn03146
1002,b4233,rxn09358;rxn09360
1003,b0171,rxn01517;rxn00119
1004,b2254,rxn10382
1005,b3803,rxn02287
1006,b3804,rxn02264
1007,b3997,rxn02288
1008,b2498,rxn00711
1009,b2497,rxn05197
1010,b1006,rxn05197
1011,b0517,rxn02102
1012,b0524,rxn03130
1013,b4258,rxn06449
1014,b3572,rxn00904
1015,b4197,rxn02321
1016,b3565,rxn01044;rxn00223
1017,b3577;b3578;b3579,rxn09386
1018,b3566;b3567;b3568,rxn05167
1019,b4031,rxn05671
1020,b1857;b1858;b1859,rxn05150
